1.85366,1.13445,1.67164,1.32353,1.65306,1.51770,1.54217,1.40138,1.51976
1.05051,1.08271,1.38346,1.33556,1.29836,1.42488,1.45897,1.59944,1.69014
1.02642,1.19355,1.15697,1.30769,1.43385,1.39403,1.38753,1.59270,1.76322
1.07980,1.10680,1.20000,1.34707,1.73077,1.45283,1.60000,1.81184,1.61663
1.08982,1.12848,1.25346,1.28205,1.25301,1.77032,1.48263,1.70926,1.64271
1.06144,1.06160,1.16730,1.37699,1.24444,1.67726,1.48211,1.50309,1.64103
1.03786,1.06441,1.26716,1.31579,1.37626,1.40286,1.44696,1.40870,1.64076
1.02013,1.09756,1.17936,1.23865,1.16505,1.28419,1.45344,1.29106,1.32013
1.08708,1.04824,1.08222,1.06178,1.23995,1.15526,1.10851,1.41856,1.46396
1.04385,1.06826,1.03802,1.05623,1.09286,1.10702,1.21923,crash,1.28608
1.01452,1.06382,1.08479,1.03222,1.05965,crash,1.08064,crash,1.09532
1.00326,1.03738,1.07394,1.05612,crash,crash,1.08775,crash,1.08376
1.01328,1.03467,1.06080,1.09088,crash,1.08521,1.08147,crash,1.06356
1.00719,1.02003,1.04326,1.08069,crash,1.09384,1.10856,crash,1.08696
1.00526,1.01942,1.00869,1.03234,crash,1.04483,1.09539,crash,1.07589
1.00577,1.01100,1.00672,1.03871,1.08489,crash,1.08146,crash,1.03406
1.00403,1.00874,1.00382,1.01427,1.02385,crash,1.00326,1.04696,1.04855
1.00262,1.00788,1.01374,1.00126,1.01320,1.01755,1.00276,1.03491,1.00970